symbol,date,open,high,low,close,volume
NVDA,2024-07-01,123.47,124.84,118.83,124.3,284885500
NVDA,2024-07-02,121.13,123.41,121.03,122.67,218374000
NVDA,2024-07-03,121.66,128.28,121.36,128.28,215749000
NVDA,2024-07-05,127.38,128.85,125.68,125.83,214176700
NVDA,2024-07-08,127.49,130.77,127.04,128.2,237677300
NVDA,2024-07-09,130.35,133.82,128.65,131.38,287020800
NVDA,2024-07-10,134.03,135.1,132.42,134.91,248978600
NVDA,2024-07-11,135.75,136.15,127.05,127.4,374782700
NVDA,2024-07-12,128.26,131.92,127.22,129.24,252680500
NVDA,2024-07-15,130.56,131.39,127.18,128.44,208326200
NVDA,2024-07-16,128.44,129.04,124.58,126.36,214769500
NVDA,2024-07-17,121.35,121.85,116.72,117.99,390086200
NVDA,2024-07-18,121.85,122.4,116.56,121.09,320979500
NVDA,2024-07-19,120.35,121.6,117.37,117.93,217223800
NVDA,2024-07-22,120.35,124.07,119.86,123.54,258068900
NVDA,2024-07-23,122.78,124.69,122.1,122.59,173911000
NVDA,2024-07-24,119.17,119.95,113.44,114.25,327776900
NVDA,2024-07-25,113.04,116.63,106.3,112.28,460067000
NVDA,2024-07-26,116.19,116.2,111.58,113.06,293399100
NVDA,2024-07-29,113.69,116.28,111.3,111.59,248152100
NVDA,2024-07-30,111.52,111.99,102.54,103.73,486833300
NVDA,2024-07-31,112.9,118.34,110.88,117.02,473174200
NVDA,2024-08-01,117.53,120.16,106.8104,109.21,523462300
NVDA,2024-08-02,103.76,108.72,101.37,107.27,482027500
NVDA,2024-08-05,92.06,103.41,90.69,100.45,552842400
NVDA,2024-08-06,103.84,107.71,100.55,104.25,409012100
NVDA,2024-08-07,107.81,108.8,98.69,98.91,411440400
NVDA,2024-08-08,102.0,105.5,97.52,104.97,391910000
NVDA,2024-08-09,105.64,106.6,103.43,104.75,290844200
NVDA,2024-08-12,106.32,111.07,106.26,109.02,325559900
NVDA,2024-08-13,112.44,116.23,111.58,116.14,312646700
NVDA,2024-08-14,118.53,118.6,114.07,118.08,339246400
NVDA,2024-08-15,118.76,123.24,117.47,122.86,318086700
NVDA,2024-08-16,121.94,125.0,121.18,124.58,302589900
NVDA,2024-08-19,124.28,130.0,123.42,130.0,318333600
NVDA,2024-08-20,128.4,129.88,125.89,127.25,300087400
NVDA,2024-08-21,127.315,129.35,126.66,128.5,257883600
NVDA,2024-08-22,130.02,130.75,123.1,123.74,376189100
NVDA,2024-08-23,125.86,129.6,125.22,129.37,323230300
NVDA,2024-08-26,129.57,131.26,124.37,126.46,331964700
NVDA,2024-08-27,125.05,129.2,123.88,128.3,303134600
NVDA,2024-08-28,128.12,128.33,122.64,125.61,448101100
NVDA,2024-08-29,121.355,124.43,116.71,117.59,453023300
NVDA,2024-08-30,119.53,121.75,117.22,119.37,333751600
NVDA,2024-09-03,116.01,116.21,107.29,108.0,477155100
NVDA,2024-09-04,105.41,113.27,104.12,106.21,372470300
NVDA,2024-09-05,104.985,109.65,104.76,107.21,306850700
NVDA,2024-09-06,108.04,108.15,100.95,102.83,413638100
NVDA,2024-09-09,104.88,106.55,103.69,106.47,273912000
NVDA,2024-09-10,107.81,109.4,104.95,108.1,268283700
NVDA,2024-09-11,109.39,117.19,107.42,116.91,441422400
NVDA,2024-09-12,116.84,120.79,115.38,119.14,367100500
NVDA,2024-09-13,119.08,119.955,117.6,119.1,238358300
NVDA,2024-09-16,116.79,118.18,114.36,116.78,248772300
NVDA,2024-09-17,118.17,118.8,114.83,115.59,231925900
NVDA,2024-09-18,115.89,117.7,113.22,113.37,310318900
NVDA,2024-09-19,117.35,119.66,117.25,117.87,293506400
NVDA,2024-09-20,117.06,118.6181,115.3901,116.0,382462400
NVDA,2024-09-23,116.55,116.99,114.86,116.26,206228500
NVDA,2024-09-24,116.515,121.8,115.38,120.87,354966800
NVDA,2024-09-25,122.02,124.94,121.61,123.51,284692900
NVDA,2024-09-26,126.8,127.665,121.8,124.04,302582900
NVDA,2024-09-27,123.97,124.03,119.26,121.4,271009200
NVDA,2024-09-30,118.31,121.5,118.15,121.44,227053700
NVDA,2024-10-01,121.765,122.4351,115.79,117.0,302094500
NVDA,2024-10-02,116.44,119.38,115.14,118.85,221845900
NVDA,2024-10-03,120.92,124.36,120.3401,122.85,277118000
NVDA,2024-10-04,124.94,125.04,121.83,124.92,244465600
NVDA,2024-10-07,124.99,130.64,124.95,127.72,346250200
NVDA,2024-10-08,130.26,133.48,129.42,132.89,285722500
NVDA,2024-10-09,134.11,134.52,131.38,132.65,246191600
NVDA,2024-10-10,131.91,135.0,131.0,134.81,242311300
NVDA,2024-10-11,134.01,135.78,133.66,134.8,170209500
NVDA,2024-10-14,136.47,139.6,136.3,138.07,232347700
NVDA,2024-10-15,137.87,138.57,128.74,131.6,377831000
NVDA,2024-10-16,133.98,136.62,131.58,135.72,264879700
NVDA,2024-10-17,139.34,140.89,136.87,136.93,306435900
NVDA,2024-10-18,138.665,138.9,137.28,138.0,176090200
NVDA,2024-10-21,138.13,143.71,138.0,143.71,264554500
NVDA,2024-10-22,142.91,144.42,141.78,143.59,226311600
NVDA,2024-10-23,142.03,142.43,137.46,139.56,285930000
NVDA,2024-10-24,140.82,141.35,138.46,140.41,172354900
NVDA,2024-10-25,140.93,144.13,140.8,141.54,205122100
NVDA,2024-10-28,143.0,143.14,140.05,140.52,173586700
NVDA,2024-10-29,140.285,142.2598,138.9,141.25,157593600
NVDA,2024-10-30,139.54,140.33,136.81,139.335,179418100
NVDA,2024-10-31,137.6,137.61,132.1106,132.76,270039600
NVDA,2024-11-01,134.7,137.31,134.57,135.4,207127800
NVDA,2024-11-04,137.21,138.96,135.57,136.05,187528200
NVDA,2024-11-05,137.45,140.3701,137.33,139.91,160537400
NVDA,2024-11-06,142.96,146.49,141.96,145.61,242043900
NVDA,2024-11-07,146.39,148.93,146.17,148.88,207323300
NVDA,2024-11-08,148.77,149.77,146.26,147.63,175665800
NVDA,2024-11-11,148.68,148.85,143.57,145.26,182325600
NVDA,2024-11-12,146.78,149.65,146.01,148.29,198634700
NVDA,2024-11-13,149.07,149.33,145.9,146.27,191903300
NVDA,2024-11-14,147.64,149.0,145.55,146.76,194463300
NVDA,2024-11-15,144.87,145.24,140.08,141.98,250132900
NVDA,2024-11-18,139.5,141.55,137.15,140.15,221866000
NVDA,2024-11-19,141.32,147.13,140.99,147.01,227834900
NVDA,2024-11-20,147.41,147.56,142.73,145.89,309871700
NVDA,2024-11-21,149.35,152.89,140.7,146.67,400946600
NVDA,2024-11-22,145.93,147.16,141.1,141.95,236406200
NVDA,2024-11-25,141.99,142.05,135.82,136.02,344941900
NVDA,2024-11-26,137.7,139.3,135.67,136.92,190287700
NVDA,2024-11-27,135.01,137.22,131.8,135.34,226370900
NVDA,2024-11-29,136.78,139.35,136.05,138.25,141863200
NVDA,2024-12-02,138.83,140.45,137.825,138.63,171682800
NVDA,2024-12-03,138.26,140.54,137.95,140.26,164414000
NVDA,2024-12-04,141.995,145.79,140.29,145.14,231224300
NVDA,2024-12-05,145.11,146.54,143.95,145.06,172621200
NVDA,2024-12-06,144.6,145.7,141.31,142.44,188505600
NVDA,2024-12-09,138.97,139.95,137.13,138.81,189308600
NVDA,2024-12-10,139.01,141.82,133.79,135.07,210020900
NVDA,2024-12-11,137.36,140.17,135.21,139.31,184905200
NVDA,2024-12-12,137.08,138.44,135.8,137.34,159211400
NVDA,2024-12-13,138.94,139.6,132.54,134.25,231514900
NVDA,2024-12-16,134.18,134.4,130.42,132.0,237951100
NVDA,2024-12-17,129.09,131.59,126.86,130.39,259410300
NVDA,2024-12-18,133.86,136.7,128.28,128.91,277444500
NVDA,2024-12-19,131.76,134.03,129.55,130.68,209719200
NVDA,2024-12-20,129.81,135.28,128.22,134.7,306528600
NVDA,2024-12-23,136.28,139.79,135.1201,139.67,176053500
NVDA,2024-12-24,140.0,141.9,138.65,140.22,105157000
NVDA,2024-12-26,139.7,140.85,137.73,139.93,116519100
NVDA,2024-12-27,138.55,139.02,134.71,137.01,170582600
NVDA,2024-12-30,134.83,140.27,134.02,137.49,167734700
NVDA,2024-12-31,138.03,138.07,133.83,134.29,155659200
NVDA,2025-01-02,136.0,138.88,134.63,138.31,198247200
NVDA,2025-01-03,140.01,144.9,139.73,144.47,229322500
NVDA,2025-01-06,148.59,152.156,147.8201,149.43,265377400
