symbol,date,open,high,low,close,volume
GOOGL,2024-07-01,183.03,183.88,181.3,182.99,16006130
GOOGL,2024-07-02,182.05,185.57,181.56,185.24,17372490
GOOGL,2024-07-03,184.85,186.09,184.0,185.82,10242130
GOOGL,2024-07-05,185.855,190.86,185.8,190.6,20967450
GOOGL,2024-07-08,189.895,190.17,187.78,189.03,21035890
GOOGL,2024-07-09,190.31,191.36,188.72,188.98,15141310
GOOGL,2024-07-10,189.15,191.75,189.03,191.18,15952450
GOOGL,2024-07-11,189.845,190.86,185.08,185.57,25625780
GOOGL,2024-07-12,185.08,187.11,184.49,185.07,22898410
GOOGL,2024-07-15,184.92,188.24,184.92,186.53,16474040
GOOGL,2024-07-16,187.36,188.68,183.3736,183.92,18290720
GOOGL,2024-07-17,182.965,183.55,179.9,181.02,20734070
GOOGL,2024-07-18,181.93,182.5,176.47,177.69,25315730
GOOGL,2024-07-19,178.88,180.29,177.13,177.66,18881890
GOOGL,2024-07-22,180.59,182.7,180.23,181.67,24100350
GOOGL,2024-07-23,182.05,183.61,181.54,181.79,36352710
GOOGL,2024-07-24,173.6,176.19,171.82,172.63,49585200
GOOGL,2024-07-25,172.52,173.42,167.19,167.28,44851970
GOOGL,2024-07-26,167.15,168.09,164.06,167.0,41336890
GOOGL,2024-07-29,168.83,170.43,167.99,169.53,20293820
GOOGL,2024-07-30,170.24,171.2299,168.44,170.29,18959690
GOOGL,2024-07-31,173.24,174.245,170.01,171.54,25729090
GOOGL,2024-08-01,170.25,174.05,168.88,170.76,24531390
GOOGL,2024-08-02,166.44,168.51,164.67,166.66,29130100
GOOGL,2024-08-05,155.5,164.43,154.93,159.25,53630670
GOOGL,2024-08-06,159.33,160.57,156.41,158.29,49004560
GOOGL,2024-08-07,161.25,162.98,158.47,158.94,25138570
GOOGL,2024-08-08,160.51,163.69,160.21,162.03,25578840
GOOGL,2024-08-09,160.01,163.79,159.06,163.67,28602290
GOOGL,2024-08-12,164.35,164.9,161.84,162.29,15895290
GOOGL,2024-08-13,163.41,164.73,162.97,164.16,18551690
GOOGL,2024-08-14,162.4,163.22,157.71,160.37,40591130
GOOGL,2024-08-15,160.5,161.635,159.61,161.3,31524250
GOOGL,2024-08-16,161.47,165.06,161.13,162.96,24208650
GOOGL,2024-08-19,165.28,166.69,164.26,166.67,22416190
GOOGL,2024-08-20,166.9,168.64,166.82,167.18,18341530
GOOGL,2024-08-21,165.15,166.85,164.67,165.85,22902000
GOOGL,2024-08-22,167.26,167.59,163.31,163.8,22493280
GOOGL,2024-08-23,164.72,166.18,163.83,165.62,13955740
GOOGL,2024-08-26,166.38,167.55,164.455,166.16,14190420
GOOGL,2024-08-27,165.835,166.4426,164.46,164.68,11821940
GOOGL,2024-08-28,165.035,165.6,161.5284,162.85,16407440
GOOGL,2024-08-29,164.31,165.97,160.25,161.78,19699770
GOOGL,2024-08-30,162.615,163.66,161.6925,163.38,22123810
GOOGL,2024-09-03,161.72,161.85,156.48,157.36,38945300
GOOGL,2024-09-04,156.655,159.0,155.9616,156.45,19353760
GOOGL,2024-09-05,156.3,159.45,155.9805,157.24,18688750
GOOGL,2024-09-06,157.3,157.83,150.55,150.92,37912130
GOOGL,2024-09-09,152.51,153.4,147.215,148.71,39260450
GOOGL,2024-09-10,150.45,151.27,148.34,148.66,31118770
GOOGL,2024-09-11,149.92,151.5,147.52,151.16,29607690
GOOGL,2024-09-12,153.8,154.82,152.65,154.69,29695050
GOOGL,2024-09-13,155.43,158.38,155.21,157.46,29591150
GOOGL,2024-09-16,157.31,158.25,156.6,158.06,18379780
GOOGL,2024-09-17,159.02,160.55,158.375,159.32,20715610
GOOGL,2024-09-18,159.86,160.5,158.595,159.81,23677320
GOOGL,2024-09-19,163.71,163.79,161.34,162.14,26587730
GOOGL,2024-09-20,163.5,163.73,162.06,163.59,40896440
GOOGL,2024-09-23,164.35,165.49,161.67,161.85,24150850
GOOGL,2024-09-24,163.03,163.2158,160.69,162.29,23332150
GOOGL,2024-09-25,161.47,162.81,161.3,161.49,18869200
GOOGL,2024-09-26,163.64,164.08,162.28,162.73,20319340
